name,num
"YAR--MOTOR VEH/TRAILER, IMPROPERLY STORE  Yarmouth By-Laws c138 §1",1
WORKERS COMP FRAUD c152 §14,1
"WITNESS, GIFT TO c268A §3(c)",1
"WIRETAP, TAMPER WITH RECORD OF c272 §99(C)(2)",1
"WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",1
"WETLANDS VIOLATION, COASTAL/TIDAL c131 §40",1
"WATER SKIS/SURFBOARD, NEGLIGENT USE OF c90B §8",1
"VOTER, FALSE REGISTRATION AS c56 §8",1
"VOTE UNLAWFULLY, ATTEMPT TO c56 §26",1
VOTE TWICE c56 §26,1
"VIOLATION, CITY KNIFE ORDINANCE",1
USED CAR DEALER OBSTRUCT POLICE c140 §67,1
USED CAR DEALER FAIL KEEP REGISTER c140 §62,1
UNLAWFUL DISTRIBUTION OF THEFT DETECTION DEVICE DEACTIVATOR OR REMOVER c266 §30B(d),1
UNAUTH SALE OF CREDIT CARDS  c140D §27,1
"TURKEY, HUNT/POSSESS WILD c131 §75",1
"TRUCK, ENTER FOR FELONY c266 §20A",1
"TRICK, OBTAIN PROPERTY UNDER $250 BY c266 §75",1
"TREE/SHRUB, WANTONLY INJURE PUBLIC c87 §12",1
"TRASH, LITTER, SUBSQ.OFF. c270 §16",1
"TRASH, DUMP FROM MV +7 CU FT, SUBSQ.OFF. c270 §16",1
TRASH TREATMENT FACILITY REGULATION VIOL c111 §150A,1
TRAP/NET/SNARE BIRD/MAMMAL c131 §79,1
"TRADE SECRET, LARCENY OF c266 §30(4)",1
"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c266 §60A",1
"TRADE SECRET, ATTEMPTED LARCENY OF c266 §30(4) & c274 § 6",1
TICKET RESALE BY OWNER c140 §185A,1
"TELEPHONE CALLS, ANNOYING c269 §14A",1
STATE RECREATION AREA REGUL VIOLATION c132A §7,1
STATE HWAY--PEDESTRIAN VIOLATION 720 CMR §9.09,1
"STALKING IN VIOL OF RESTRAINING ORDER,2D c265 §43(c)",1
SPITTING IN PUBLIC PLACE c270 §14,1
SPEEDING RATE OF SPEED GREATER THAN WAS REASONABLE AND PROPER  c90 §17,1
SOLICIT TO COMMIT CRIME PUNISHABLE BY LESS THAN 5 YEARS c274 §8,1
SOLICIT TO COMMIT CRIME PUNISHABLE BY 10 YEARS OR MORE c274 §8,1
SNOW/REC VEH - NEGLIGENT/RECKLESS OP & SERIOUS INJURY c90B §26B(d),1
SNOW/REC VEH - LEAVE SCENE OF PROPERTY DAMAGE c90B §26B(b),1
SNOW/REC VEH - LEAVE SCENE OF PERSONAL INJURY c90B §26B(c),1
"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING c85 §5",1
SMOKING IN BOSTON PUBLIC PARK Boston Municipal Code c.7 §4.14,1
"SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED c131 §63",1
"SHOTGUN, POSSESS SAWED-OFF, 2ND OFF. c269 §10(c) & (d)",1
SHOTGUN SHELLS IN CLOSED SEASON c131 §66,1
